Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
1313,Algorithm,Part of,History,History is only partially complete,See Less,See Less
1314,Algorithm,Part of,History,History is only partially complete,See Temporal aperiodic,See Temporal aperiodic
1315,Algorithm,Reverse,History,History time is inversed,Old entries appear as new and vice versa,Confusion of events and causality can create erratic system behaviour
1316,Algorithm,Other than,History,"History from a different time span than expected, is used",Results are based on out-dated history,Functionality hampered
1317,Algorithm,Other than,History,"History from a different time span than expected, is used",Wrong events are correlated,Results incorrect
1318,Algorithm,Other than,History,"History from a different time span than expected, is used",,Miscalculations of timings and movements
1319,Algorithm,Where else,History,History from a different location is used,Wrong events are correlated,Miscalculations of location and tracking
1320,Algorithm,Spatial periodic,History,Spatial structures are sampled and turned into history data,Missed frames change interpretation of spatial structure,Miscounts
1321,Algorithm,Spatial periodic,History,Spatial structures are sampled and turned into history data,,Misinterpretation of spatial periodicals
1322,Algorithm,Spatial aperiodic,History,See Realtime,History is rebuild for every n frames,Synchronized phenomena are differently interpreted in a periodic manner
1323,Algorithm,Temporal periodic,History,History is periodically reset,Information of some frames is missing,CV alg. Does not detect the missing of a frame(s) and crashes
1324,Algorithm,Temporal periodic,History,History is periodically reset,,Missing information is interpolated in a wrong way
1325,Algorithm,Temporal aperiodic,History,Some frames in history are missing,Errors in spatial differences between history data points is increasing,Incorrect results
1326,Algorithm,Temporal aperiodic,History,Some frames in history are missing,,Incomplete results
1327,Algorithm,Close,History,History data points are spatially incorrect,Errors in spatial differences,See Close
1328,Algorithm,Close,History,History data points are spatially incorrect,,
1329,Algorithm,Before,History,Phase shift in frame sequence capture (too early),History is phase shifted,Results arrive too early
1330,Algorithm,Before,History,Phase shift in frame sequence capture (too early),,Synchronisation to other systems is lost 
1331,Algorithm,After,History,Newest history includes an extreme event,History is weighted strongly and the influence of the extreme event is significant,Results outside of specifications
1332,Algorithm,After,History,Newest history includes an extreme event,History spikes,Incorrect Results
1333,Algorithm,Faster,History,History time base is misinterpreted (too fast),Dynamics and Movement calculation error increased,Miscalculation of dynamics and movements
1334,Algorithm,No (not none),Models,No Models available,Default results can be reported,Incorrect results
1335,Algorithm,No (not none),Models,No Models available,Recognition of appl.-typical objects and situations not trained,Everything reported as unknown
1336,Algorithm,No (not none),Models,No Models available,,Distinction between uncritical and critical situations hampered
1337,Algorithm,No (not none),Models,No Models available,,Detection of typical objects and situations not more efficient than of others
1338,Algorithm,"More (more of, higher)",Models,More Models available than expected,Runtime higher,Results arrive too late
1339,Algorithm,"More (more of, higher)",Models,More Models available than expected,Model domain does not fit environment,Mismatches
1340,Algorithm,"More (more of, higher)",Models,More Models available than expected,,False positives (too many classes in the classifiers)
1341,Algorithm,"More (more of, higher)",Models,More Models available than expected,,"False negatives: No critical scenes detected, because ""everything"" is learned as normal"
1342,Algorithm,"More (more of, higher)",Models,Modelling extent too large or over specific,Algorithm is very pedantic,Matching will not work as no patch exactly matches the very specific model
1343,Algorithm,"More (more of, higher)",Models,Modelling extent too large or over specific,Noise effects are enhanced,Classifier has too sharp peaks
1344,Algorithm,"More (more of, higher)",Models,Modelling extent too large or over specific,,Noise confused with signal
1345,Algorithm,"Less (less of, lower)",Models,Modelling extent too small or too generic,Large range of hypotheses is assigned to a small number of results,More false positives
1346,Algorithm,"Less (less of, lower)",Models,Number of models too few,Small range of hypotheses is covered,More false negatives
1347,Algorithm,As well as,Models,Redundancy in models ,Hypotheses are separated although they should match to the same model,Ambiguous results
1348,Algorithm,As well as,Models,Redundancy in models ,Total selectivity of system reduced,Misdetections
1349,Algorithm,As well as,Models,Redundancy in models ,Likelihoods are washed out instead of peaked,Tracking errors (consistency between frames lost)
1350,Algorithm,Part of,Models,Models are incomplete,System uses incomplete model data,Misinterpretation
1351,Algorithm,Part of,Models,Models are incomplete,"Some parts of the model are correct, but others are missed",Wrong defaults are used to fill out missing information
1352,Algorithm,Part of,Models,Models are incomplete,Model misses essential aspects or situations,False negatives
1353,Algorithm,Part of,Models,Models are incomplete,Trained model is not covering enough variants of a task,
1354,Algorithm,Part of,Models,Dynamical models are incomplete,Calculations are missing inputs from models,Tracking fails
1355,Algorithm,Reverse,Models,Training data are opposite to those occurring during appl.,"""Good"" cases trained as ""bad"" and vice versa",Continuous wrong scene interpretation
1356,Algorithm,Other than,Models,Inadequate model assumptions,Applicability of model to given problem is reduced,Performance is negatively affected
1357,Algorithm,Other than,Models,Inadequate model assumptions,Missing regularisation,More false positives / false negatives
1358,Algorithm,Other than,Models,Inconsistent models are supplied,See Part of,CV Algorithm is confused by inconsistent model -> infinite loop
1359,Algorithm,Other than,Models,Inconsistent models are supplied,Specified objects are physically impossible,
1360,Algorithm,Other than,Models,Units or reference systems are other than expected,Scaling of model is different from expected,Result has wrong units/scale
1361,Algorithm,Other than,Models,Units or reference systems are other than expected,Orientation of objects can differ from the expected,Miscalculation of distances
1362,Algorithm,Other than,Models,Units or reference systems are other than expected,Specified objects are physically impossible,Misinterpretation of relations
